method,path,operationId,tags,summary
POST,/adhoc/email/create,acceptEmailCreationRequest,Adhoc Email creations requests,Accept the new Adhoc email creation reqeusts
GET,/adhoc/email/list,getEmailCreationRequests,Adhoc Email creations requests,Get list of the email requests by the status
PUT,/adhoc/email/update,updateEmailRequests,Adhoc Email creations requests,Update email request
GET,/announcement,announcementList,Announcement  Management,get list of announcements
PUT,/announcement,createAnnouncement,Announcement  Management,create announcement
DELETE,/announcement/attachment/{id},deleteAnnouncementAttachment,Announcement  Management,
PUT,/announcement/dashboard/event/upload,uploadEvents,Announcement  Management,create announcement
GET,/announcement/dashboard/events,getBirthdayAnniversaries,Announcement  Management,get list of announcements
GET,/announcement/dashboard/list,announcementForDashboard,Announcement  Management,get list of announcements
PUT,/announcement/update,updateAnnouncement,Announcement  Management,create announcement
DELETE,/announcement/{id},deleteAnnouncement,Announcement  Management,
GET,/api/access/accessesEmployeesData,findAccessEmployeesData,master-access-controller,
GET,/api/access/accessesEmployeesDataV2,findAccessEmployeesDataV2,master-access-controller,
POST,/api/access/add/accessRequest,addAccessRequest_1,master-access-controller,
POST,/api/access/addRequest/{employeeId},addAccessRequest,master-access-controller,
POST,/api/access/approve/dl/{requestId},approveByDL,master-access-controller,
POST,/api/access/approve/it/{requestId},approveByIT_1,master-access-controller,
PUT,/api/access/approve/{accessTypeId},approveAccessType,master-access-controller,
PUT,/api/access/deallocate/{requestId},approveByIT,master-access-controller,
PUT,/api/access/edit/{accessTypeId},editAccessType,master-access-controller,
GET,/api/access/getPendingRequests/types,getPendingAccessTypes,master-access-controller,
GET,/api/access/report/export,exportAllProjects_1,master-access-controller,
GET,/api/access/requests/dl/{approverId},getRequestsForDL,master-access-controller,
GET,/api/access/requests/employee/{employeeId},getRequestsForEmployee,master-access-controller,
GET,/api/access/requests/it/{approverId},getRequestsForIT,master-access-controller,
GET,/api/access/types,getAccessTypes_2,master-access-controller,
POST,/api/auth/logout,logout,Auth Controller,
GET,/api/auth/path,getPath,Auth Controller,
POST,/api/auth/signin,authenticateUser,Auth Controller,
POST,/api/auth/signup,registerUser,Auth Controller,
POST,/api/auth/validate,validateUUID,Auth Controller,
GET,/api/auth/validate-token,validateToken,Auth Controller,
POST,/api/consultant/allocation,createAllocation,consultant-controller,
GET,/api/consultant/allocation/balance,getBalance,consultant-controller,
POST,/api/consultant/allocation/consume,consume,consultant-controller,
POST,/api/consultant/timesheet/submit,submitTimesheet,consultant-controller,
GET,/api/dashboard/attendance-analytics,getAttendanceAnalytics,dashboard-controller,
GET,/api/dashboard/celebrations,getTodayCelebrations,dashboard-controller,
GET,/api/dashboard/leave-balance,getLeaveBalance,dashboard-controller,
GET,/api/dashboard/pending-requests,getPendingRequests,dashboard-controller,
GET,/api/dashboard/today-punch,getTodayPunch,dashboard-controller,
GET,/api/dashboard/weekly-timesheet,getWeeklyTimesheetSummary,dashboard-controller,
GET,/api/events,getEvents,event-controller,
POST,/api/events/apply,apply,event-controller,
GET,/api/events/available,getAvailableEvents,event-controller,
POST,/api/events/create,createEvent,event-controller,
GET,/api/events/expense/list,getExpenses,event-controller,
GET,/api/events/expenses/user,getUserExpenses,event-controller,
GET,/api/events/finance,getFinanceRequests,event-controller,
PUT,/api/events/finance/action,financeActionOnExpense,event-controller,
PUT,/api/events/management/action,updateManagerStatus,event-controller,
POST,/api/events/management/expense,uploadManagementExpense,event-controller,
GET,/api/events/mgmt,getMgmtRequests,event-controller,
GET,/api/events/my-requests,getMyTravelRequests,event-controller,
POST,/api/events/user/create/draft,createUserEvent,event-controller,
POST,/api/events/user/expense,uploadUserExpense,event-controller,
PUT,/api/events/{eventId}/action,performAction,event-controller,
GET,/api/events/{eventId}/user,getExpensesByEventAndUser,event-controller,
DELETE,/api/events/{expenseId},deleteExpense,event-controller,
PUT,/api/events/{expenseId},updateExpense,event-controller,
PUT,/api/events/{requestId}/submit,submitEvent,event-controller,
PUT,/api/events/{requestId}/user/submit,updateEvent,event-controller,
GET,/api/timesheets,getTimesheet,timesheet-controller,
POST,/api/timesheets,createTimesheet,timesheet-controller,
GET,/api/timesheets/expired,getExpiredTimesheetReminders,timesheet-controller,
GET,/api/timesheets/expiry-warning,getExpiryWarnings,timesheet-controller,
GET,/api/timesheets/export,exportTimesheet,timesheet-controller,
GET,/api/timesheets/export/remote-timesheet,exportRemoteTimesheet,timesheet-controller,
POST,/api/timesheets/extend-deadline,extendDeadline,timesheet-controller,
GET,/api/timesheets/get-all/timesheets,filterTimesheets,timesheet-controller,
GET,/api/timesheets/hr/timesheets/pending,getPendingTimesheets_1,timesheet-controller,
POST,/api/timesheets/manager/action,managerAction,timesheet-controller,
GET,/api/timesheets/manager/view/timesheets,getSubmittedTimesheets,timesheet-controller,
GET,/api/timesheets/pending/reminder,getPendingTimesheets,timesheet-controller,
POST,/api/timesheets/track-remote,trackRemoteEmployees,timesheet-controller,
GET,/api/timesheets/work-categories,getAllTitleNames,timesheet-controller,
GET,/api/v1/mdm/activity/all,getAllData,mdm-activity-controller,
GET,/api/v1/mdm/activity/asset-type/list,getAllAssertTypes_2,mdm-activity-controller,
GET,/api/v1/mdm/activity/employee/system-assets,getEmployeeSystemAssets,mdm-activity-controller,
GET,/api/v1/mdm/activity/employee/system-logs,getEmployeeSystemLogs,mdm-activity-controller,
GET,/api/v1/mdm/activity/is-system-assigned,getSystemAssigned,mdm-activity-controller,
GET,/api/v1/mdm/activity/list/systems,getEmployeesWithSystemAssets,mdm-activity-controller,
GET,/api/v1/mdm/activity/login-excel/export,downloadExcel,mdm-activity-controller,
GET,/api/v1/mdm/activity/report,report,mdm-activity-controller,
GET,/api/v1/mdm/activity/system-activity-excel/mail,generateCombinedExcelReportMail_1,mdm-activity-controller,
GET,/api/v1/mdm/activity/system-logs/excel/export,exportProjectsByEmployee_1,mdm-activity-controller,
POST,/api/v1/mdm/activity/upload,upload,mdm-activity-controller,
GET,/api/v2/leaves/allowed-types,getAllowedTypes,leave-controller-v-2,
POST,/api/v2/leaves/apply,applyLeave,leave-controller-v-2,
GET,/api/v2/leaves/employee/{employeeId}/requested,requestedLeaves,leave-controller-v-2,
